,Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,0
340,WAS,IND,1,20180520,82.0,75.0,1,1,0.5537547270000001,0.118990957,0.147058824,0.223880597,75.8784,108.0676451,98.8423583,0.51369863,0.170454545,0.3125,0.258064516,74.88,100.1602564,109.508547,,,,,,,,,,,,,,,-850.0,0.8947368421052632
341,WAS,LVA,2,20180522,75.0,70.0,1,1,0.515676568,0.23226351399999998,0.2,0.164179104,84.2112,89.06178751,83.12433501,0.42850146899999997,0.155151014,0.21052631600000002,0.180555556,85.1328,82.22447752,88.09765449,,,,,,,,,,,,,,,-1575.0,0.9402985074626866
342,WAS,IND,3,20180524,93.0,84.0,1,0,0.615404976,0.13704888099999998,0.290322581,0.292307692,75.4176,123.313391,111.3798371,0.6065857889999999,0.147710487,0.037037037,0.283333333,77.0304,109.0478564,120.73155530000001,,,,,,,,,,,,,,,-210.0,0.6774193548387096
343,WAS,MIN,4,20180527,90.0,78.0,1,1,0.592417062,0.12649494,0.4,0.06944444400000001,70.0416,128.4950658,111.36239040000001,0.575900768,0.161050545,0.185185185,0.161290323,72.6912,107.30322240000001,123.8114105,,,,,,,,,,,,,,,265.0,0.273972602739726
344,WAS,SEA,5,20180529,77.0,81.0,0,0,0.523097826,0.159817352,0.257142857,0.164179104,75.456,102.0462256,107.3473282,0.537135279,0.175054705,0.290322581,0.112676056,79.104,102.3968447,97.34021036,0.56931333325,0.15369957299999998,0.25934535125,0.18745295925,76.3872,112.2344723525,101.1772302025,0.590413545,0.136981651,0.26444165725,0.32553581,78.37440000000002,117.618506,110.3559254175,135.0,0.425531914893617
345,WAS,PHO,6,20180530,103.0,95.0,1,0,0.666063114,0.18023748899999997,0.28571428600000004,0.33846153799999995,82.8672,124.295258,114.64125729999999,0.611168296,0.14329806,0.20689655199999998,0.180555556,81.3312,116.8063425,126.64266599999999,0.5616491079999999,0.16390617175,0.2868663595000001,0.17252758600000004,76.28160000000003,110.7291174775,103.3034726775,0.5700397295,0.15990769824999998,0.17816091975,0.25979662725,76.10879999999997,106.43825843,115.3775597,220.0,0.3125
346,WAS,LVA,7,20180601,73.0,85.0,0,0,0.504701327,0.152367557,0.27777777800000003,0.3666666670000001,72.3072,100.9581342,117.5539919,0.5476804120000001,0.152838428,0.387096774,0.55,76.416,111.23324960000001,95.52973199,0.5992457444999999,0.1508996655,0.3082949310000001,0.2160981945,75.9456,119.5374851,111.18270325,0.551244411,0.155744455,0.234355893,0.31362620175,81.8304,105.92285393250002,114.3194568225,-550.0,0.8461538461538461
347,WAS,CON,8,20180603,64.0,88.0,0,1,0.41884816799999997,0.135746606,0.225,0.125,76.22399999999998,83.96305626,115.4492024,0.543746911,0.147492625,0.38888888899999996,0.136986301,77.6832,113.2806064,82.38589553,0.57156983225,0.15472933449999998,0.3051587302500001,0.23468793825,75.168,113.9486709,112.72624195,0.5132168897499998,0.134425936,0.3751843380000001,0.16229535574999998,83.4624,108.8873775525,91.00258522499996,160.0,0.38461538461538464
348,WAS,MIN,9,20180607,80.0,88.0,0,1,0.568181818,0.135135135,0.115384615,0.151515152,75.264,106.29251699999999,116.92176869999999,0.576217915,0.182090831,0.39285714299999996,0.264705882,79.0656,111.29998379999999,101.1818035,0.52817760875,0.15704225100000002,0.2614087302500001,0.24857682725,76.7136,102.815668515,113.74794495,0.5464047350000001,0.18215879525,0.26284526275000003,0.20978030949999998,76.99200000000002,102.45536364,106.50574748000004,180.0,0.35714285714285715
349,WAS,CON,10,20180613,95.0,91.0,1,0,0.629639449,0.137236962,0.275862069,0.375,76.2624,124.569906,119.32485729999999,0.538589015,0.115207373,0.31578947399999996,0.194805195,80.1408,113.5501517,118.5413672,0.53944860675,0.15087169675,0.2259691697500001,0.24541083925,76.6656,103.877241365,116.141555075,0.5015198019999998,0.1170994825,0.3218217647500001,0.18258631625,81.19680000000002,106.8370073775,104.23746069999996,425.0,0.19047619047619047
350,WAS,LAS,11,20180615,86.0,97.0,0,1,0.559022361,0.144572954,0.382352941,0.231884058,73.8432,116.4629919,131.359421,0.74845679,0.198019802,0.1875,0.33928571399999996,74.688,129.8736075,115.14567269999999,0.5303426904999999,0.140121565,0.22350611550000007,0.25454545475,75.0144,103.945903365,117.312455075,0.5831529077499998,0.15400730099999999,0.2587823275,0.24280618149999994,72.5376,112.48899185000002,96.6029398525,130.0,0.43478260869565216
351,WAS,CHI,12,20180619,88.0,60.0,1,1,0.537109375,0.127768313,0.454545455,0.21621621600000002,75.7632,116.1513769,79.19412063,0.40716612399999996,0.18747243100000002,0.4,0.25,73.6128,81.50756390000002,119.5444271,0.5439229489999999,0.13817291425,0.2496499062500001,0.2208498025,75.39840000000002,107.82211779,120.76381235,0.4516079269999999,0.1308784785,0.29493007000000004,0.1838254197499999,73.34400000000002,93.94276657,116.48888107500002,-425.0,0.8095238095238095
352,WAS,CHI,13,20180622,93.0,77.0,1,0,0.6253362020000001,0.203513282,0.225806452,0.22727272699999998,82.9056,112.1757758,92.87671762,0.52480916,0.20571676100000005,0.161290323,0.23076923100000002,83.8656,91.81356838,110.8917125,0.57348825075,0.136178341,0.3070362700000001,0.2436538565,75.28320000000002,115.86919795,111.7000419075,0.4922972077499999,0.16252918775000005,0.26794495850000005,0.1942204302499999,76.43520000000002,96.26701885,117.28903350000004,-190.0,0.6551724137931034
353,WAS,CON,14,20180626,92.0,80.0,1,1,0.59493016,0.083017078,0.235294118,0.323076923,73.2672,125.5677848,109.1893781,0.52687039,0.18295307800000002,0.384615385,0.20588235300000002,74.8032,106.94729640000001,122.98939080000001,0.58777684675,0.15327287775,0.3346417292500001,0.26259325024999997,77.1936,117.34001265,105.68877913750002,0.5068446047499998,0.15537021699999998,0.3191893832500001,0.16800875999999998,79.2672,101.87614695249997,108.9626416925,-135.0,0.574468085106383
354,WAS,NYL,15,20180628,80.0,77.0,1,1,0.514933059,0.114051095,0.27027027,0.308823529,74.5728,107.2777206,103.254806,0.576002394,0.18328445699999998,0.233333333,0.161290323,71.8464,107.17308030000001,111.34865490000001,0.5790995245,0.13971790675,0.32449974150000005,0.249612481,76.4448,117.58948235,103.15490933750002,0.4853372734999998,0.17635411424999994,0.20987506625000008,0.11058773225000004,76.0608,91.42617104250004,108.88941947500004,-450.0,0.8181818181818182
355,WAS,PHO,16,20180630,74.0,84.0,0,1,0.488642367,0.136798906,0.19047619,0.171428571,76.5312,96.69259073,109.759157,0.539014374,0.08243052299999999,0.184210526,0.242857143,74.8032,112.2946612,98.92624914,0.568077199,0.132087442,0.29647907375000004,0.26884734875000005,76.62719999999999,115.293164525,96.12875558750002,0.55689450325,0.15645550449999998,0.25043771475000004,0.2708394225,79.61279999999998,107.18116089000002,104.2474003925,-155.0,0.6078431372549019
356,WAS,NYL,17,20180705,86.0,67.0,1,1,0.586150491,0.119961612,0.212121212,0.26153846199999997,73.3056,117.31709450000001,91.3982015,0.47612279700000004,0.175726336,0.27777777800000003,0.24193548399999998,72.3456,92.61102265,118.87385,0.555960447,0.13434509025,0.2304617575000001,0.25765043750000005,76.8192,110.4284679825,103.77001468000003,0.5496006684999999,0.15030870024999998,0.2805465365000001,0.20973996900000005,78.10560000000002,109.15302833000004,115.25869082500004,-440.0,0.8148148148148148
357,WAS,LAS,18,20180707,83.0,74.0,1,0,0.5431937170000001,0.14541387,0.24242424199999998,0.524590164,78.14399999999998,106.21416869999999,94.69696970000001,0.530694205,0.16722408,0.161290323,0.1875,75.5712,97.92090108,109.83019990000001,0.54616401925,0.11345717275,0.2270404475000001,0.26621687125000004,74.4192,111.7137976575,103.40038565000003,0.56075536075,0.14732880574999999,0.19267696975,0.17643525449999994,75.1872,107.70743986250002,109.307244625,265.0,0.273972602739726
358,WAS,SEA,19,20180708,91.0,97.0,0,0,0.5830343410000001,0.092980009,0.222222222,0.183098592,74.9184,121.4654878,129.4742013,0.66040305,0.119846596,0.26666666699999997,0.37096774200000004,72.4224,133.9364616,125.6517321,0.5332299085,0.12905637074999998,0.2288229785000001,0.3165951815000001,75.6384,106.8753936325,99.77728355000004,0.54019533525,0.13166523624999998,0.25480832725,0.15705951,73.70879999999998,108.93716345,99.785951075,255.0,0.28169014084507044
359,WAS,ATL,20,20180711,89.0,106.0,0,1,0.54400978,0.11853448300000001,0.43243243200000003,0.246575342,73.72800000000002,120.71397569999999,143.77170139999996,0.7104557640000001,0.11820331,0.25,0.19117647100000001,75.456,140.4792197,117.9495335,0.5502552289999999,0.12378859925000002,0.2168109665000001,0.28516394725000005,75.72480000000002,110.4223354325,106.33213237500004,0.5701054532500001,0.13756830024999994,0.22034313725000004,0.208490488,80.59200000000001,110.7567711575,104.68358846750002,-1485.0,0.9369085173501577
360,WAS,CHI,21,20180713,88.0,72.0,1,1,0.537897311,0.146137787,0.41025641,0.23287671199999999,76.608,114.87050959999999,93.98496241,0.495049505,0.189478377,0.258064516,0.149253731,78.4512,91.77679883,112.17164299999999,0.5640970822499999,0.11922249350000005,0.2773000270000001,0.30395064000000005,75.02400000000002,116.427681675,114.83526847500003,0.5244658750000002,0.15897921150000008,0.2306408965000001,0.17950340924999994,78.33599999999998,100.843622435,112.20256115250002,-525.0,0.84
361,WAS,ATL,22,20180715,77.0,80.0,0,0,0.49409650899999996,0.08243052299999999,0.228571429,0.214285714,73.8432,104.27500429999999,108.33766680000001,0.46882325399999997,0.085726532,0.333333333,0.328767123,75.1872,106.4010895,102.41104870000001,0.5520337872499999,0.12576653725000006,0.3268338265000001,0.2967852025000001,75.84960000000002,115.81603545,115.48195870250004,0.5779925197500001,0.13478519299999994,0.3046023962500001,0.241145162,77.51040000000002,116.4385827325,100.29603066750003,-102.0,0.504950495049505
