Unnamed: 0,Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R9Pace,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Prob,Team Points,Opp Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 OEff,Opp R9 DEff,Opp R3 OEff,Opp R3 DEff
1738,BRK,17,0,0,20171122,2017-2018,CLE,0.605,0.17800000000000002,0.21600000000000003,0.136,0.4995625,0.1295,0.2103125,0.23525,0.61,0.096,0.105,0.23199999999999998,0.5349375,0.141,0.22325,0.241125,0.542666667,0.135444444,0.23844444399999998,0.249444444,97.9,0.5093333329999999,0.136,0.255666667,0.21666666699999998,99.33333333,99.31111111,0.492111111,0.124222222,0.179222222,0.225111111,104.2444444,0.526,0.11566666699999999,0.169333333,0.192333333,101.7,575,11.0,14.81481481,109,119,1,111.3,121.6,121.6,111.3,103.2777778,106.0222222,108.8,109.46666670000002,114.82222220000001,113.44444440000001,109.33333329999999,104.16666670000001
1739,BRK,18,1,0,20171124,2017-2018,POR,0.55,0.076,0.28300000000000003,0.15,0.505764706,0.132352941,0.210647059,0.229411765,0.531,0.059000000000000004,0.261,0.26,0.495882353,0.136352941,0.258823529,0.230529412,0.5061111110000001,0.149,0.243777778,0.21988888899999998,102.9,0.487333333,0.15766666699999998,0.250333333,0.250333333,92.8,94.02222222,0.5086666670000001,0.137666667,0.19088888899999998,0.21733333300000002,102.57777779999999,0.553333333,0.132333333,0.18,0.199666667,101.16666670000001,145,3.5,40.81632653,125,127,1,121.4,123.4,123.4,121.4,104.4333333,107.53333329999998,111.73333329999998,113.5,105.3111111,100.61111109999999,101.8666667,96.26666667
1740,BRK,19,0,1,20171126,2017-2018,MEM,0.534,0.168,0.33299999999999996,0.257,0.508222222,0.129222222,0.214666667,0.225,0.45,0.13699999999999998,0.262,0.2,0.505555556,0.128833333,0.174111111,0.228111111,0.508,0.138,0.167666667,0.18988888899999998,86.7,0.495,0.141333333,0.107333333,0.173333333,95.83333333,95.0,0.5191111110000001,0.131777778,0.207,0.19855555600000002,101.41111109999999,0.532333333,0.11933333300000001,0.23399999999999999,0.19,103.3,180,5.5,35.71428571,98,88,1,113.1,101.5,101.5,113.1,106.94444440000001,109.1,111.46666670000002,117.7,102.1444444,110.67777779999999,96.7,104.1333333
1741,BRK,20,0,0,20171127,2017-2018,HOU,0.523,0.122,0.15,0.151,0.5095789470000001,0.13126315800000002,0.22089473699999998,0.22668421100000002,0.605,0.13699999999999998,0.17800000000000002,0.151,0.554684211,0.13947368400000001,0.22763157899999997,0.248368421,0.584777778,0.14300000000000002,0.255444444,0.273,99.5,0.585,0.127,0.215,0.20199999999999999,97.0,99.33333333,0.528666667,0.135111111,0.21911111100000003,0.20155555600000002,99.78888889,0.563,0.140666667,0.277333333,0.18100000000000002,95.83333333,1400,16.0,6.666666667,103,117,1,103.5,117.6,117.6,103.5,108.76666670000002,110.2888889,115.26666670000002,115.5,121.16666670000001,104.86666670000001,119.13333329999999,96.06666667
1742,BRK,21,0,1,20171129,2017-2018,DAL,0.528,0.122,0.275,0.156,0.51025,0.1308,0.21735,0.2229,0.518,0.106,0.156,0.20199999999999999,0.49795,0.13175,0.1818,0.174,0.5003333329999999,0.123666667,0.179,0.160555556,97.9,0.5046666670000001,0.11533333300000001,0.142666667,0.124,94.96666667,95.7,0.532444444,0.126222222,0.21644444399999999,0.197111111,98.43333333,0.535666667,0.122,0.255333333,0.18600000000000003,96.36666667,190,4.5,34.48275862,109,104,1,111.3,106.2,106.2,111.3,109.92222220000001,112.2222222,112.66666670000001,114.16666670000001,103.3,102.5222222,100.0,96.26666667
1743,BRK,22,1,0,20171202,2017-2018,ATL,0.518,0.172,0.261,0.207,0.511095238,0.130380952,0.220095238,0.219714286,0.525,0.071,0.27699999999999997,0.10099999999999999,0.519761905,0.143380952,0.210904762,0.174238095,0.540333333,0.151666667,0.23244444399999997,0.152444444,96.6,0.5073333329999999,0.138,0.22399999999999998,0.203666667,94.93333333,94.6,0.536111111,0.12966666699999999,0.22255555600000002,0.201,98.66666667,0.528333333,0.137333333,0.252666667,0.188,94.7,-185,-4.0,64.9122807,102,114,-1,105.6,118.0,118.0,105.6,110.57777779999999,112.7777778,109.3,108.43333329999999,108.0,112.55555559999999,107.83333329999999,118.43333329999999
1744,BRK,23,0,1,20171204,2017-2018,ATL,0.5710000000000001,0.19399999999999998,0.293,0.153,0.511409091,0.13227272699999998,0.221954545,0.21913636399999997,0.42100000000000004,0.161,0.184,0.256,0.52,0.140090909,0.21390909100000002,0.170909091,0.5437777779999999,0.136222222,0.236111111,0.147555556,99.9,0.5023333329999999,0.135333333,0.222,0.207,94.73333333,94.2,0.537333333,0.131666667,0.225111111,0.181555556,98.51111111,0.523,0.138666667,0.228666667,0.171333333,98.0,110,2.0,47.61904762,110,90,1,110.1,90.1,90.1,110.1,110.2888889,112.96666670000002,106.8,113.93333329999999,110.6888889,111.75555559999998,107.36666670000001,117.96666670000002
1745,BRK,24,1,1,20171207,2017-2018,OKC,0.506,0.122,0.159,0.23800000000000002,0.514,0.134956522,0.22504347800000002,0.21626087,0.423,0.1,0.28800000000000003,0.122,0.501608696,0.13282608699999998,0.260478261,0.19456521699999998,0.48722222200000004,0.136555556,0.291333333,0.17544444399999998,99.0,0.512,0.168,0.34533333299999996,0.201,93.76666667,95.67777778,0.542666667,0.139,0.23722222199999998,0.18588888899999997,98.55555556,0.539,0.162666667,0.276333333,0.172,98.13333333,250,7.5,28.57142857,100,95,1,101.0,95.9,95.9,101.0,111.13333329999999,110.8111111,109.0,104.7666667,105.04444440000002,106.33333329999999,107.2,102.5666667
1746,BRK,25,1,0,20171209,2017-2018,MIA,0.451,0.11800000000000001,0.182,0.198,0.5136666670000001,0.134416667,0.222291667,0.21716666699999998,0.511,0.049,0.18600000000000003,0.1,0.5229166670000001,0.147416667,0.188541667,0.171625,0.540666667,0.145777778,0.174111111,0.16855555600000002,91.2,0.578666667,0.163333333,0.18633333300000002,0.15766666699999998,93.56666667,94.41111111,0.5307777779999999,0.13977777800000002,0.24144444399999998,0.192444444,98.83333333,0.531666667,0.162666667,0.237666667,0.199333333,98.5,110,2.0,47.61904762,89,101,-1,97.6,110.8,110.8,97.6,108.7777778,109.15555559999999,105.56666670000001,101.33333329999999,105.66666670000001,114.64444440000001,108.83333329999999,121.73333329999998
1747,BRK,26,1,1,20171212,2017-2018,WAS,0.46399999999999997,0.124,0.196,0.298,0.5111600000000001,0.13376,0.22068000000000002,0.2164,0.42100000000000004,0.087,0.214,0.18899999999999997,0.51268,0.12215999999999999,0.22848000000000002,0.22351999999999997,0.500888889,0.105,0.219444444,0.19555555600000002,100.7,0.46766666700000004,0.10333333300000001,0.222,0.19899999999999998,91.0,93.31111111,0.5317777779999999,0.141333333,0.23911111100000002,0.182888889,96.84444444,0.5093333329999999,0.144666667,0.211333333,0.196333333,96.7,135,3.0,42.55319149,103,98,1,102.3,97.3,97.3,102.3,108.32222220000001,109.45555559999998,102.9,98.93333333,108.66666670000001,109.2111111,103.6,112.8
