Team,ML Odds,Date
CHI,+125,20160403.0
MIL,-145,20160403.0
IND,-165,20160403.0
NYK,+145,20160403.0
POR,+775,20160403.0
GSW,-1200,20160403.0
BOS,-475,20160403.0
LAL,+380,20160403.0
NOP,+125,20160405.0
PHI,-145,20160405.0
CHO,+180,20160405.0
TOR,-220,20160405.0
DET,+155,20160405.0
MIA,-175,20160405.0
PHO,+1250,20160405.0
ATL,-2000,20160405.0
CHI,-140,20160405.0
MEM,+120,20160405.0
CLE,-290,20160405.0
MIL,+260,20160405.0
SAS,-150,20160405.0
UTA,+130,20160405.0
OKC,-350,20160405.0
DEN,+290,20160405.0
POR,-145,20160405.0
SAC,+125,20160405.0
MIN,+2000,20160405.0
GSW,-4000,20160405.0
LAL,+1100,20160405.0
LAC,-1700,20160405.0
BRK,+1250,20160406.0
WAS,-2000,20160406.0
CLE,+110,20160406.0
IND,-120,20160406.0
DET,+115,20160406.0
ORL,-135,20160406.0
NOP,+1250,20160406.0
BOS,-2000,20160406.0
CHO,-185,20160406.0
NYK,+160,20160406.0
HOU,-135,20160406.0
DAL,+115,20160406.0
OKC,-103,20160406.0
POR,-117,20160406.0
LAC,-1300,20160406.0
LAL,+850,20160406.0
MIL,+150,20160411.0
ORL,-170,20160411.0
ATL,+150,20160411.0
CLE,-170,20160411.0
CHO,+270,20160411.0
BOS,-330,20160411.0
WAS,-220,20160411.0
BRK,+180,20160411.0
LAL,+1400,20160411.0
OKC,-2500,20160411.0
CHI,-190,20160411.0
NOP,+175,20160411.0
HOU,-160,20160411.0
MIN,+140,20160411.0
DAL,+190,20160411.0
UTA,-230,20160411.0
SAC,+230,20160411.0
PHO,-270,20160411.0
SAC,+1315,20160413.0
HOU,-2200,20160413.0
SAS,+175,20160413.0
DAL,-210,20160413.0
NOP,+350,20160413.0
MIN,-440,20160413.0
TOR,-190,20160413.0
BRK,+165,20160413.0
ATL,-340,20160413.0
WAS,+280,20160413.0
IND,+175,20160413.0
MIL,-210,20160413.0
DET,-103,20160413.0
CLE,-117,20160413.0
PHI,+500,20160413.0
CHI,-700,20160413.0
MIA,+190,20160413.0
BOS,-230,20160413.0
ORL,+400,20160413.0
CHO,-500,20160413.0
UTA,-550,20160413.0
LAL,+425,20160413.0
MEM,+3250,20160413.0
GSW,-5000,20160413.0
DEN,+420,20160413.0
POR,-535,20160413.0
LAC,+165,20160413.0
PHO,-190,20160413.0
ATL,-123,20151101.0
CHO,+103,20151101.0
SAS,-220,20151101.0
BOS,+180,20151101.0
MIL,+245,20151101.0
TOR,-290,20151101.0
HOU,+120,20151101.0
MIA,-140,20151101.0
ORL,+285,20151101.0
CHI,-345,20151101.0
DEN,+650,20151101.0
OKC,-1000,20151101.0
DAL,-155,20151101.0
LAL,+135,20151101.0
LAL,+300,20151111.0
ORL,-360,20151111.0
TOR,-400,20151111.0
PHI,+325,20151111.0
NYK,+185,20151111.0
CHO,-225,20151111.0
IND,+125,20151111.0
BOS,-145,20151111.0
LAC,-300,20151111.0
DAL,+250,20151111.0
NOP,+500,20151111.0
ATL,-600,20151111.0
GSW,-310,20151111.0
MEM,+255,20151111.0
BRK,+700,20151111.0
HOU,-1100,20151111.0
MIL,+130,20151111.0
DEN,-150,20151111.0
DET,+103,20151111.0
SAC,-123,20151111.0
SAS,-325,20151111.0
POR,+265,20151111.0
NOP,+125,20151115.0
NYK,-145,20151115.0
MEM,-145,20151115.0
MIN,+125,20151115.0
POR,+165,20151115.0
CHO,-190,20151115.0
UTA,+178,20151115.0
ATL,-215,20151115.0
BOS,+180,20151115.0
OKC,-220,20151115.0
TOR,-155,20151115.0
SAC,+135,20151115.0
DET,-175,20151115.0
LAL,+155,20151115.0
DAL,-440,20151116.0
PHI,+350,20151116.0
IND,+165,20151116.0
CHI,-190,20151116.0
BOS,+165,20151116.0
HOU,-190,20151116.0
OKC,+105,20151116.0
MEM,-125,20151116.0
POR,+700,20151116.0
SAS,-1100,20151116.0
LAL,+575,20151116.0
PHO,-850,20151116.0
IND,-330,20151118.0
PHI,+270,20151118.0
MIN,+140,20151118.0
ORL,-150,20151118.0
BRK,+245,20151118.0
CHO,-290,20151118.0
DAL,+175,20151118.0
BOS,-210,20151118.0
NOP,+550,20151118.0
OKC,-800,20151118.0
POR,+245,20151118.0
HOU,-290,20151118.0
SAC,+130,20151118.0
ATL,-140,20151118.0
DEN,+1000,20151118.0
SAS,-1500,20151118.0
TOR,+165,20151118.0
UTA,-190,20151118.0
CHI,+125,20151118.0
PHO,-145,20151118.0
PHI,+500,20151120.0
CHO,-700,20151120.0
BRK,+360,20151120.0
BOS,-450,20151120.0
DET,-118,20151120.0
MIN,-102,20151120.0
NYK,+260,20151120.0
OKC,-290,20151120.0
SAS,-460,20151120.0
NOP,+365,20151120.0
HOU,+170,20151120.0
MEM,-200,20151120.0
UTA,+115,20151120.0
DAL,-135,20151120.0
PHO,-140,20151120.0
DEN,+120,20151120.0
LAC,-155,20151120.0
POR,+145,20151120.0
CHI,+335,20151120.0
GSW,-375,20151120.0
TOR,-250,20151120.0
LAL,+210,20151120.0
TOR,+195,20151122.0
LAC,-235,20151122.0
PHO,+100,20151122.0
NOP,-120,20151122.0
BOS,-220,20151122.0
BRK,+180,20151122.0
DAL,+185,20151122.0
OKC,-225,20151122.0
GSW,-675,20151122.0
DEN,+488,20151122.0
POR,-165,20151122.0
LAL,+145,20151122.0
IND,+110,20151124.0
WAS,-130,20151124.0
BOS,+145,20151124.0
ATL,-165,20151124.0
DAL,+135,20151124.0
MEM,-155,20151124.0
LAC,-290,20151124.0
DEN,+245,20151124.0
CHI,-130,20151124.0
POR,+110,20151124.0
LAL,+2500,20151124.0
GSW,-5000,20151124.0
MIL,+210,20151129.0
CHO,-250,20151129.0
MIN,+400,20151129.0
LAC,-500,20151129.0
PHO,+175,20151129.0
TOR,-210,20151129.0
DET,-175,20151129.0
BRK,+155,20151129.0
PHI,+550,20151129.0
MEM,-800,20151129.0
BOS,-125,20151129.0
ORL,+105,20151129.0
HOU,-125,20151129.0
NYK,+105,20151129.0
IND,-550,20151129.0
LAL,+425,20151129.0
BOS,+175,20151130.0
MIA,-210,20151130.0
HOU,+165,20151130.0
DET,-190,20151130.0
SAS,-165,20151130.0
CHI,+145,20151130.0
DEN,+145,20151130.0
MIL,-165,20151130.0
OKC,-145,20151130.0
ATL,+125,20151130.0
GSW,-380,20151130.0
UTA,+315,20151130.0
DAL,-125,20151130.0
SAC,+105,20151130.0
POR,+270,20151130.0
LAC,-330,20151130.0
OKC,-135,20151203.0
MIA,+115,20151203.0
DEN,+450,20151203.0
TOR,-600,20151203.0
ORL,+155,20151203.0
UTA,-175,20151203.0
SAS,-155,20151203.0
MEM,+135,20151203.0
BOS,-135,20151203.0
SAC,+115,20151203.0
IND,-135,20151203.0
POR,+115,20151203.0
DET,+145,20151207.0
CHO,-165,20151207.0
SAS,-1300,20151207.0
PHI,+1050,20151207.0
DAL,-125,20151207.0
NYK,+105,20151207.0
LAL,+1000,20151207.0
TOR,-1500,20151207.0
WAS,-113,20151207.0
MIA,+103,20151207.0
BOS,+100,20151207.0
NOP,-120,20151207.0
PHO,+195,20151207.0
CHI,-235,20151207.0
POR,-125,20151207.0
MIL,+105,20151207.0
LAC,-118,20151207.0
MIN,-102,20151207.0
MIA,-125,20151209.0
CHO,+105,20151209.0
CHI,+135,20151209.0
BOS,-155,20151209.0
HOU,+135,20151209.0
WAS,-155,20151209.0
SAS,-210,20151209.0
TOR,+175,20151209.0
MEM,+155,20151209.0
DET,-175,20151209.0
LAL,+210,20151209.0
MIN,-250,20151209.0
LAC,-220,20151209.0
MIL,+180,20151209.0
ORL,+155,20151209.0
PHO,-175,20151209.0
NYK,+135,20151209.0
UTA,-155,20151209.0
ATL,+115,20151209.0
DAL,-135,20151209.0
LAC,-220,20151212.0
BRK,+180,20151212.0
BOS,+115,20151212.0
CHO,-135,20151212.0
IND,-105,20151212.0
DET,-105,20151212.0
LAL,+600,20151212.0
HOU,-900,20151212.0
SAS,-155,20151212.0
ATL,+135,20151212.0
NOP,+210,20151212.0
CHI,-250,20151212.0
GSW,-465,20151212.0
MIL,+370,20151212.0
WAS,+210,20151212.0
DAL,-250,20151212.0
NYK,+145,20151212.0
POR,-165,20151212.0
DAL,+165,20151216.0
IND,-190,20151216.0
CHO,+105,20151216.0
ORL,-125,20151216.0
MIN,+175,20151216.0
NYK,-210,20151216.0
MIA,-200,20151216.0
BRK,+155,20151216.0
BOS,+115,20151216.0
DET,-135,20151216.0
PHI,+1050,20151216.0
ATL,-1600,20151216.0
POR,+425,20151216.0
OKC,-550,20151216.0
MEM,+145,20151216.0
CHI,-165,20151216.0
WAS,+950,20151216.0
SAS,-1450,20151216.0
NOP,+155,20151216.0
UTA,-175,20151216.0
MIL,+600,20151216.0
LAC,-750,20151216.0
PHO,+850,20151216.0
GSW,-1300,20151216.0
POR,+175,20151218.0
ORL,-210,20151218.0
BRK,+475,20151218.0
IND,-560,20151218.0
NYK,-250,20151218.0
PHI,+210,20151218.0
ATL,+150,20151218.0
BOS,-170,20151218.0
TOR,+170,20151218.0
MIA,-200,20151218.0
DET,+150,20151218.0
CHI,-170,20151218.0
SAC,-140,20151218.0
MIN,+120,20151218.0
LAC,+260,20151218.0
SAS,-320,20151218.0
MEM,+125,20151218.0
DAL,-145,20151218.0
DEN,+175,20151218.0
UTA,-210,20151218.0
NOP,+145,20151218.0
PHO,-165,20151218.0
MIL,+2750,20151218.0
GSW,-6000,20151218.0
SAC,+125,20151221.0
WAS,-145,20151221.0
MIN,+315,20151221.0
BOS,-380,20151221.0
ORL,+115,20151221.0
NYK,-135,20151221.0
BRK,+450,20151221.0
CHI,-600,20151221.0
POR,+270,20151221.0
ATL,-300,20151221.0
CHO,+135,20151221.0
HOU,-155,20151221.0
IND,+350,20151221.0
SAS,-440,20151221.0
PHO,+165,20151221.0
UTA,-190,20151221.0
OKC,-125,20151221.0
LAC,+105,20151221.0
LAL,+500,20151227.0
MEM,-700,20151227.0
NYK,+260,20151227.0
BOS,-320,20151227.0
DEN,+1500,20151227.0
OKC,-2000,20151227.0
POR,+260,20151227.0
SAC,-320,20151227.0
BRK,+270,20151230.0
ORL,-330,20151230.0
LAC,-135,20151230.0
CHO,+115,20151230.0
LAL,+800,20151230.0
BOS,-1250,20151230.0
WAS,+195,20151230.0
TOR,-235,20151230.0
IND,+135,20151230.0
CHI,-155,20151230.0
UTA,+100,20151230.0
MIN,-120,20151230.0
GSW,-210,20151230.0
DAL,+175,20151230.0
PHO,+1400,20151230.0
SAS,-1800,20151230.0
DEN,+255,20151230.0
POR,-280,20151230.0
PHI,+375,20151230.0
SAC,-420,20151230.0
ATL,-500,20160107.0
PHI,+400,20160107.0
BOS,+175,20160107.0
CHI,-210,20160107.0
UTA,+380,20160107.0
HOU,-475,20160107.0
LAL,+360,20160107.0
SAC,-405,20160107.0
ATL,-145,20160113.0
CHO,+125,20160113.0
MIL,+180,20160113.0
WAS,-220,20160113.0
NYK,-150,20160113.0
BRK,+130,20160113.0
IND,+115,20160113.0
BOS,-135,20160113.0
DAL,+435,20160113.0
OKC,-500,20160113.0
MIN,+400,20160113.0
HOU,-500,20160113.0
GSW,-500,20160113.0
DEN,+400,20160113.0
NOP,+300,20160113.0
SAC,-360,20160113.0
UTA,+120,20160113.0
POR,-140,20160113.0
MIA,+185,20160113.0
LAC,-200,20160113.0
MIL,+195,20160116.0
CHO,-235,20160116.0
BOS,-122,20160116.0
WAS,+102,20160116.0
BRK,+550,20160116.0
ATL,-800,20160116.0
POR,-220,20160116.0
PHI,+180,20160116.0
GSW,-290,20160116.0
DET,+245,20160116.0
NYK,+145,20160116.0
MEM,-155,20160116.0
LAL,+275,20160116.0
UTA,-305,20160116.0
SAC,+200,20160116.0
LAC,-220,20160116.0
CHO,+155,20160122.0
ORL,-175,20160122.0
UTA,-210,20160122.0
BRK,+175,20160122.0
CHI,+135,20160122.0
BOS,-155,20160122.0
LAC,-120,20160122.0
NYK,+100,20160122.0
MIL,+120,20160122.0
HOU,-140,20160122.0
MIA,+415,20160122.0
TOR,-525,20160122.0
OKC,-250,20160122.0
DAL,+230,20160122.0
IND,+925,20160122.0
GSW,-1400,20160122.0
SAS,-3200,20160122.0
LAL,+1600,20160122.0
DAL,+145,20160124.0
HOU,-165,20160124.0
LAC,+110,20160124.0
TOR,-130,20160124.0
BOS,-380,20160124.0
PHI,+340,20160124.0
OKC,-1500,20160124.0
BRK,+1000,20160124.0
CHI,+180,20160131.0
LAC,-220,20160131.0
BOS,-190,20160131.0
ORL,+165,20160131.0
ATL,+103,20160131.0
MIA,-113,20160131.0
PHO,+550,20160131.0
DAL,-800,20160131.0
GSW,-570,20160131.0
NYK,+435,20160131.0
MIN,+250,20160131.0
POR,-300,20160131.0
