Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff
CHO,1,64,101,91,1,20150313,CHI,0.41,0.10400000000000001,0.34700000000000003,0.315,93.9,107.6,96.9
CHO,0,65,66,94,0,20150316,UTA,0.327,0.075,0.113,0.192,84.4,78.2,111.4
CHO,0,66,92,99,0,20150317,LAC,0.437,0.124,0.196,0.291,93.1,98.8,106.3
CHO,0,67,91,101,0,20150320,SAC,0.429,0.11699999999999999,0.159,0.143,99.0,91.9,102.0
CHO,0,68,109,98,1,20150322,MIN,0.539,0.068,0.31,0.146,89.0,122.5,110.2
CHO,0,69,86,98,0,20150323,CHI,0.395,0.09699999999999999,0.21600000000000003,0.272,91.6,93.8,106.9
CHO,1,70,88,91,0,20150325,BRK,0.412,0.099,0.196,0.143,98.4,89.4,92.5
CHO,0,71,107,110,0,20150327,WAS,0.385,0.084,0.154,0.26,98.1,90.2,92.8
CHO,1,72,115,100,1,20150328,ATL,0.6,0.08199999999999999,0.19399999999999998,0.238,90.9,126.5,110.0
CHO,1,73,104,116,0,20150330,BOS,0.512,0.09699999999999999,0.256,0.2,90.6,114.8,128.0
CHO,1,74,102,78,1,20150401,DET,0.472,0.08199999999999999,0.26,0.189,93.0,109.6,83.8
CHO,0,75,74,93,0,20150403,IND,0.375,0.16899999999999998,0.2,0.175,94.5,78.3,98.4
CHO,1,76,92,91,1,20150404,PHI,0.413,0.10300000000000001,0.31,0.244,90.0,102.2,101.1
CHO,0,77,100,105,0,20150407,MIA,0.456,0.08199999999999999,0.306,0.187,92.7,107.9,113.3
CHO,1,78,74,92,0,20150408,TOR,0.407,0.085,0.191,0.099,82.0,90.2,112.2
CHO,0,79,80,104,0,20150410,ATL,0.41,0.125,0.255,0.145,90.5,88.4,115.0
CHO,0,80,77,116,0,20150412,DET,0.367,0.08900000000000001,0.12,0.241,92.0,83.7,126.1
CHO,1,81,90,100,0,20150413,HOU,0.488,0.142,0.152,0.108,95.3,94.4,104.9
CHO,0,82,87,92,0,20150415,TOR,0.507,0.133,0.22899999999999998,0.211,81.3,107.0,113.1
MIN,0,1,101,105,0,20141029,MEM,0.488,0.193,0.452,0.198,95.7,105.5,109.7
MIN,1,2,97,91,1,20141030,DET,0.513,0.12,0.23800000000000002,0.25,90.3,107.4,100.8
MIN,1,3,105,106,0,20141101,CHI,0.471,0.092,0.28300000000000003,0.294,93.3,112.6,113.7
MIN,0,4,98,91,1,20141105,BRK,0.45,0.099,0.271,0.189,96.8,101.2,94.0
MIN,0,5,103,112,0,20141107,ORL,0.452,0.10300000000000001,0.184,0.204,95.1,98.1,106.6
MIN,0,6,92,102,0,20141108,MIA,0.425,0.141,0.33299999999999996,0.207,93.1,98.8,109.6
MIN,1,7,101,113,0,20141112,HOU,0.481,0.121,0.25,0.284,94.7,106.7,119.4
MIN,0,8,91,139,0,20141114,NOP,0.424,0.196,0.262,0.417,99.3,91.6,139.9
MIN,0,9,117,131,0,20141115,DAL,0.541,0.147,0.3,0.279,98.9,118.3,132.4
