date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
2019-11-18,IND,18.0,41.0,25.0,31.0,0.0,115.0,BRK,18.0,17.0,33.0,18.0,0.0,86.0
2019-11-18,BOS,26.0,31.0,23.0,19.0,0.0,99.0,PHO,22.0,20.0,23.0,20.0,0.0,85.0
2019-11-18,SAS,22.0,27.0,30.0,31.0,0.0,110.0,DAL,36.0,23.0,34.0,24.0,0.0,117.0
2019-11-19,PHO,19.0,26.0,30.0,41.0,0.0,116.0,SAC,33.0,29.0,25.0,33.0,0.0,120.0
2019-11-19,OKC,28.0,25.0,34.0,20.0,0.0,107.0,LAL,33.0,30.0,30.0,19.0,0.0,112.0
2019-11-19,POR,28.0,26.0,25.0,25.0,0.0,104.0,NOP,27.0,26.0,35.0,27.0,0.0,115.0
2019-11-19,GSW,28.0,33.0,22.0,31.0,0.0,114.0,MEM,30.0,16.0,26.0,23.0,0.0,95.0
2019-11-20,NYK,25.0,26.0,28.0,25.0,0.0,104.0,PHI,27.0,26.0,21.0,35.0,0.0,109.0
2019-11-20,HOU,22.0,29.0,22.0,22.0,0.0,95.0,DEN,27.0,27.0,28.0,23.0,0.0,105.0
2019-11-20,BOS,21.0,21.0,33.0,22.0,7.0,104.0,LAC,22.0,18.0,29.0,28.0,10.0,107.0
2019-11-20,ORL,32.0,19.0,17.0,29.0,0.0,97.0,TOR,32.0,29.0,18.0,34.0,0.0,113.0
2019-11-20,DET,30.0,25.0,16.0,18.0,0.0,89.0,CHI,30.0,29.0,25.0,25.0,0.0,109.0
2019-11-20,SAS,38.0,31.0,29.0,34.0,0.0,132.0,WAS,35.0,28.0,38.0,37.0,0.0,138.0
2019-11-20,CHO,26.0,25.0,22.0,18.0,0.0,91.0,BRK,26.0,30.0,26.0,19.0,0.0,101.0
2019-11-20,UTA,26.0,22.0,25.0,30.0,0.0,103.0,MIN,19.0,27.0,22.0,27.0,0.0,95.0
2019-11-20,CLE,22.0,26.0,29.0,23.0,0.0,100.0,MIA,32.0,43.0,24.0,25.0,0.0,124.0
